"","LP","ID","Data.rozpoczecia","Data.zakonczenia","Calkowity.czas.wypelniania","Rzeczywisty.czas.wypelniania","z1.wiedza.dziedzinowa","z1.zdolnosci.analityczne","z1.skutecznosc","z1.swiadomosc.roli","z1.otwartosc.feedback","z1.rozwoj.wlasny","z2.sposob.pracy","z2.licza.sie","z2.podazaja","z2.potrafi.rozmawiac","z2.dostrzega.potrzeby","z2.dostrzega.potencjal","z2.rozwoj.zawodowy","z2.rozwoj.osobisty","z2.wartosciowy.feedback","z2.dostepny","z2.bezpieczenstwo","z2.nadmierna.presja","z2.trudne.sytuacje","z2.godna.zaufania","z3.zeby.wspolpraca","z3.dobra.atmosfera","z3.mocne.strony","z3.jasne.cele","z3.organizuje.prace","z3.nawyki","z3.chetnie.angazuja","z3.zaprezentowac","z3.w.otoczeniu","z3.komunikuje.zmiany","z3.glowne.wartosci","z3.przeklada.misje","z3.att.check","r1.wiedza.dziedzinowa","r1.zdolnosci.analityczne","r1.skutecznosc","r1.swiadomosc.roli","r1.otwartosc.feedback","r1.rozwoj.wlasny","r2.sposob.pracy","r2.licza.sie","r2.podazaja","r2.potrafi.rozmawiac","r2.dostrzega.potrzeby","r2.dostrzega.potencjal","r2.rozwoj.zawodowy","r2.rozwoj.osobisty","r2.wartosciowy.feedback","r2.dostepny","r2.bezpieczenstwo","r2.nadmierna.presja","r2.trudne.sytuacje","r2.godna.zaufania","r3.zeby.wspolpraca","r3.dobra.atmosfera","r3.mocne.strony","r3.jasne.cele","r3.organizuje.prace","r3.nawyki","r3.chetnie.angazuja","r3.zaprezentowac","r3.w.otoczeniu","r3.komunikuje.zmiany","r3.glowne.wartosci","r3.przeklada.misje","r3.att.check","inne.open","UWES1","UWES2","UWES3","UWES4","UWES5","UWES6","UWES7","UWES8","UWES9","wiek","plec","narodowosc.PL","narodowosc.GER","narodowosc.UA","narodowosc.BY","narodowosc.UK","narodowosc.USA","narodowosc.ESP","narodowosc.FR","narodowosc.IT","narodowosc.inna","narodowosc.jaka","staz","kraj.wspolpraca","kraj.inny","stanowisko","stanowisko.inne","poziomy.ponizej","ile.w.zespole","ile.w.zespole.inne","dla.ilu.przeloz","dla.ilu.przeloz.inne","dla.ilu.lider","tryb.pracy","tryb.hybryd","tryb.hybryd.inne","ilu.liderow","final.open","urzadzenie","parametr.zewn","jezyk.wypeln","tagi","strona.odsylajaca","czas.wyp.s1","czas.wyp.s2","czas.wyp.s3","czas.wyp.s4","czas.wyp.s5","czas.wyp.s6","czas.wyp.s7","czas.wyp.s8","czas.wyp.s9","czas.wyp.s10","czas.wyp.s11","czas.wyp.s12"
"11",11,471827433,"2024-09-17 14:52:27","2024-09-17 15:03:27","00:11:00","00:11:00","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,NA,3,2,1,NA,NA,NA,6,NA,NA,NA,3,2,1,NA,5,NA,4,NA,1,2,NA,5,NA,7,3,NA,NA,4,NA,6,NA,"","Kilka razy w miesiącu","Kilka razy w tygodniu","Zawsze","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w miesiącu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu",25,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"3-5","Polska","","Menadżer średniego szczebla (lider liderów)","",3,"powyżej 30 osób (wpisz ile?)","4 kierowników w zespołach łącznie ponad 80 osób","1-5",NA,"51-100","Hybrydowo","Trzy dni","","","","Mobile",NA,"pl",NA,"","00:00:05","00:01:18","00:01:25","00:01:21","00:00:44","00:00:28","00:00:35","00:01:17","00:03:01","00:00:18","00:00:13","00:00:15"
"12",12,471827517,"2024-09-17 14:51:17","2024-09-17 15:03:54","00:12:37","00:12:37","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","To nie jest dla mnie ważne",3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,3,2,6,2,4,3,5,NA,NA,NA,NA,1,NA,NA,NA,"","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w miesiącu","Kilka razy w tygodniu","Raz w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w miesiącu",27,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Inny - jaki?","Szwajcaria","Team leader, kierownik","",1,"11-20","","1-5",NA,"1-5","Hybrydowo","Jeden dzień","","","","Mobile",NA,"pl",NA,"","00:00:13","00:01:27","00:02:18","00:02:29","00:00:46","00:00:44","00:00:29","00:01:55","00:01:42","00:00:13","00:00:06","00:00:15"
"13",13,471827841,"2024-09-17 14:51:00","2024-09-17 15:05:51","00:14:51","00:14:51","To nie jest dla mnie ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","To nie jest dla mnie ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,NA,NA,NA,1,NA,3,NA,NA,1,NA,2,NA,NA,4,NA,NA,6,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,2,NA,"Zarządzanie zmianą","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w tygodniu","Nigdy","Nigdy","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w tygodniu","Kilka razy w miesiącu",34,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Inny - jaki?","Szwecja, Chorwacja","Inny rodzaj stanowiska (jaki?)","Product owner",1,"Pracuję samodzielnie","","1-5",NA,"1-5","Hybrydowo","Inne rozwiązanie - jakie?","Raz w miesiącu","","","Mobile",NA,"pl",NA,"","00:01:23","00:02:19","00:03:02","00:01:47","00:00:52","00:00:49","00:00:37","00:01:50","00:01:35","00:00:12","00:00:09","00:00:16"
"14",14,472798665,"2024-09-20 09:21:31","2024-09-20 10:31:20","01:09:49","01:09:49","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne",5,4,1,3,2,6,NA,9,5,2,1,6,3,7,10,8,11,NA,4,NA,2,3,9,5,1,6,8,12,11,7,13,4,10,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w miesiącu lub rzadziej","Zawsze","Kilka razy w miesiącu","Kilka razy w tygodniu","Raz w miesiącu lub rzadziej","Kilka razy w miesiącu",36,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"11-15","Polska","","Menadżer średniego szczebla (lider liderów)","",1,"2-5","","1-5",NA,"11-20","Hybrydowo","Jeden dzień","","","","Mobile",NA,"pl",NA,"","00:00:06","01:05:46","00:00:46","00:00:25","00:00:34","00:00:29","00:00:14","00:00:43","00:00:29","00:00:05","00:00:03","00:00:09"
"15",15,472800996,"2024-09-20 09:21:17","2024-09-20 10:47:37","01:26:20","01:26:20","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","To nie jest dla mnie ważne",NA,NA,NA,2,1,NA,NA,11,5,3,6,10,8,9,2,4,NA,NA,7,1,5,1,NA,4,6,NA,NA,2,7,3,NA,NA,NA,"Szczerość, otwartość na komentarze pracowników co do aktualnej sytuacji, branie pod uwagę ich zdania po równo","Raz w tygodniu","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Nigdy",27,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Polska","","Pracownik, członek zespołu","",1,"6-10","","",NA,"","Hybrydowo","Dwa dni","","","","Mobile",NA,"pl",NA,"","00:00:06","00:02:56","01:00:10","00:02:13","00:00:17","00:01:02","00:00:17","00:02:12","00:01:21","","00:00:05","00:15:41"
"16",16,472803183,"2024-09-20 09:21:19","2024-09-20 11:02:25","01:41:06","01:41:06","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","To nie jest dla mnie ważne","Trochę ważne","To nie jest dla mnie ważne",NA,NA,2,1,3,NA,6,12,5,13,11,9,8,1,7,4,3,NA,2,10,3,4,NA,1,NA,NA,NA,5,2,NA,NA,NA,NA,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w miesiącu","Nigdy","Kilka razy w miesiącu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu",25,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"3-5","Polska","","Pracownik, członek zespołu","",1,"6-10","","",NA,"","Hybrydowo","Dwa dni","","","","Mobile",NA,"pl",NA,"","00:00:05","00:20:13","00:00:49","00:01:30","00:00:46","01:15:14","00:00:18","00:00:54","00:01:05","","00:00:04","00:00:08"
"17",17,472803303,"2024-09-20 09:21:38","2024-09-20 11:03:04","01:41:26","01:41:26","Trochę ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne",NA,NA,2,1,3,NA,NA,5,NA,NA,NA,4,1,NA,3,NA,NA,NA,2,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Raz w tygodniu","Kilka razy w miesiącu","Zawsze","Raz w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Zawsze","Zawsze",37,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"11-15","USA","","Pracownik, członek zespołu","",3,"21-30","","",NA,"","Hybrydowo","Inne rozwiązanie - jakie?","0","","","Mobile",NA,"pl",NA,"","01:33:13","00:01:52","00:01:05","00:02:19","00:00:22","00:00:16","00:00:11","00:00:43","00:01:02","","00:00:09","00:00:14"
"18",18,472803363,"2024-09-20 09:21:27","2024-09-20 11:03:21","01:41:54","01:41:54","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,2,3,1,NA,NA,NA,NA,NA,2,3,NA,1,NA,NA,6,5,4,NA,3,NA,NA,NA,2,NA,NA,NA,1,4,NA,NA,NA,"","Raz w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w tygodniu","Kilka razy w miesiącu","Kilka razy w miesiącu",30,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"3-5","Polska","","Pracownik, członek zespołu","",2,"2-5","","",NA,"","Całkowicie zdalnie (online)","","","","","Mobile",NA,"pl",NA,"","00:00:11","01:35:56","00:01:27","00:01:34","00:00:28","00:00:26","00:00:19","00:01:00","00:00:27","","00:00:06",""
"19",19,472818270,"2024-09-20 09:21:30","2024-09-20 12:35:10","03:13:40","03:13:40","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,NA,1,2,3,4,2,7,4,1,11,5,8,12,10,NA,9,3,NA,6,6,7,5,1,4,10,11,2,3,9,12,8,NA,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Nigdy",40,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"16-20","Polska","","Pracownik, członek zespołu","",3,"21-30","","",NA,"","Hybrydowo","Dwa dni","","","","Mobile",NA,"pl",NA,"","01:29:36","00:01:51","00:01:31","00:04:06","00:00:48","00:02:49","00:02:03","01:29:19","00:01:11","","00:00:14","00:00:12"
"20",20,474324246,"2024-09-25 09:16:47","2024-09-25 09:53:41","00:36:54","00:36:54","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,2,1,3,4,NA,NA,3,10,9,7,5,4,6,2,8,NA,11,1,7,NA,5,1,6,NA,4,NA,2,3,NA,NA,NA,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu",39,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"11-15","USA","","Team leader, kierownik","",1,"6-10","","6-10",NA,"6-10","Hybrydowo","Inne rozwiązanie - jakie?","1 dzień na 2 tygodnie w biurze","","","Mobile",NA,"pl",NA,"","00:28:15","00:00:44","00:00:41","00:01:27","00:00:38","00:01:26","00:00:55","00:01:09","00:00:55","00:00:08","00:00:04","00:00:32"
"21",21,474324993,"2024-09-25 09:16:31","2024-09-25 09:57:43","00:41:12","00:41:12","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne",NA,NA,NA,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,"","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w tygodniu","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w miesiącu","Kilka razy w miesiącu","Zawsze","Kilka razy w tygodniu",41,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"16-20","Polska","","Team leader, kierownik","",1,"11-20","","11-20",NA,"11-20","Hybrydowo","Dwa dni","","","","Mobile",NA,"pl",NA,"","00:23:00","00:01:46","00:03:44","00:02:35","00:00:26","00:00:28","00:00:13","00:06:12","00:02:13","00:00:13","00:00:08","00:00:14"
"22",22,474327294,"2024-09-25 09:16:33","2024-09-25 10:07:18","00:50:45","00:50:45","To nie jest dla mnie ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,3,2,1,4,7,2,1,5,NA,6,NA,NA,4,NA,8,NA,9,3,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Raz w miesiącu lub rzadziej",31,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Polska","","Menadżer średniego szczebla (lider liderów)","",2,"21-30","","6-10",NA,"21-30","Hybrydowo","Dwa dni","","","","Mobile",NA,"pl",NA,"","00:33:57","00:03:56","00:06:03","00:01:55","00:02:10","00:00:37","00:00:10","00:00:36","00:00:56","00:00:14","00:00:05","00:00:06"
"23",23,474328179,"2024-09-25 09:16:59","2024-09-25 10:11:10","00:54:11","00:54:11","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,4,3,2,5,1,2,NA,11,12,13,8,5,6,4,7,9,10,3,1,11,5,4,7,NA,6,2,10,3,1,9,8,NA,"Starszy","Zawsze","Kilka razy w tygodniu","Zawsze","Zawsze","Zawsze","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu",43,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"16-20","Wielka Brytania","","Team leader, kierownik","",1,"6-10","","6-10",NA,"6-10","Hybrydowo","Jeden dzień","","","","Mobile",NA,"pl",NA,"android-app://com.google.android.googlequicksearchbox/","00:42:48","00:01:20","00:00:46","00:04:09","00:01:06","00:00:29","00:00:58","00:00:53","00:01:09","00:00:21","00:00:04","00:00:08"
